ticker,ticker-full,short-name,sector,industry,6-10--2025
WING,WING US Equity,WINGSTOP INC,Consumer Discretionary,"Hotels, Restaurants & Leisure",381.4599915
MCD,MCD US Equity,MCDONALDS CORP,Consumer Discretionary,"Hotels, Restaurants & Leisure",300.4299927
RCL,RCL US Equity,ROYAL CARIBBEAN,Consumer Discretionary,"Hotels, Restaurants & Leisure",269.7000122
MAR,MAR US Equity,MARRIOTT INTL-A,Consumer Discretionary,"Hotels, Restaurants & Leisure",268.0400085
FLUT,FLUT US Equity,FLUTTER ENTER-DI,Consumer Discretionary,"Hotels, Restaurants & Leisure",267.5100098
BH,BH US Equity,BIGLARI HOLDIN-B,Consumer Discretionary,"Hotels, Restaurants & Leisure",266.4400024
HLT,HLT US Equity,HILTON WORLDWIDE,Consumer Discretionary,"Hotels, Restaurants & Leisure",253.5399933
DRI,DRI US Equity,DARDEN RESTAURAN,Consumer Discretionary,"Hotels, Restaurants & Leisure",216.1999969
TXRH,TXRH US Equity,TEXAS ROADHOUS,Consumer Discretionary,"Hotels, Restaurants & Leisure",189.1699982
EAT,EAT US Equity,BRINKER INTL,Consumer Discretionary,"Hotels, Restaurants & Leisure",168.3899994
MTN,MTN US Equity,VAIL RESORTS,Consumer Discretionary,"Hotels, Restaurants & Leisure",156.6300049
YUM,YUM US Equity,YUM! BRANDS INC,Consumer Discretionary,"Hotels, Restaurants & Leisure",143.9199982
H,H US Equity,HYATT HOTELS-A,Consumer Discretionary,"Hotels, Restaurants & Leisure",134.7299957
CHH,CHH US Equity,CHOICE HOTELS,Consumer Discretionary,"Hotels, Restaurants & Leisure",130.3200073
SHAK,SHAK US Equity,SHAKE SHACK IN-A,Consumer Discretionary,"Hotels, Restaurants & Leisure",125.3199997
PLNT,PLNT US Equity,PLANET FITNESS-A,Consumer Discretionary,"Hotels, Restaurants & Leisure",102.3099976
